,FE_index,FE_show,FE_post,FE_put,FE_delete,BE_index,Be_show,BE_post,BE_put,BE_delete,FE
ajuste_inventario_detalles,S,S,S,S,S,S,S,S,S,S,N
ajuste_inventarios,S,S,S,S,S,S,S,S,S,S,N
api_keys,S,S,S,S,S,S,S,S,S,S,N
cajas,S,S,S,S,S,S,S,S,S,S,N
cajas_impresion,S,S,S,S,S,S,S,S,S,S,N
calificaciones,S,S,S,S,S,S,S,S,S,S,N
campanha_sponsors,S,S,S,S,S,S,S,S,S,S,N
campanhas,S,S,S,S,S,S,S,S,S,S,N
campanhas_colaboradores,S,S,S,S,S,S,S,S,S,S,N
candidaturas,S,S,S,S,S,S,S,S,S,S,N
categoria_clientes,S,S,S,S,S,S,S,S,S,S,N
categoria_clientes_promociones,S,S,S,S,S,S,S,S,S,S,N
categoria_operaciones,S,S,S,S,S,S,S,S,S,S,N
categorias,S,S,S,S,S,S,S,S,S,S,N
categorias_productos,S,S,S,S,S,S,S,S,S,S,N
ciudades,S,S,S,S,S,S,S,S,S,S,N
clientes,S,S,S,S,S,S,S,S,S,S,N
colaboradores,S,S,S,S,S,S,S,S,S,S,N
compra_cuotas,S,S,S,S,S,S,S,S,S,S,N
compra_detalles,S,S,S,S,S,S,S,S,S,S,N
compra_medios,S,S,S,S,S,S,S,S,S,S,N
compras,S,S,S,S,S,S,S,S,S,S,N
consulta_detalles,S,S,S,S,S,S,S,S,S,S,N
consultas,S,S,S,S,S,S,S,S,S,S,N
consultorios,S,S,S,S,S,S,S,S,S,S,N
contactos,S,S,S,S,S,S,S,S,S,S,N
contenedores,S,S,S,S,S,S,S,S,S,S,N
conyugues,S,S,S,S,S,S,S,S,S,S,N
cotizaciones,S,S,S,S,S,S,S,S,S,S,N
cuentas,S,S,S,S,S,S,S,S,S,S,N
curso_colaboradores,S,S,S,S,S,S,S,S,S,S,N
cursos,S,S,S,S,S,S,S,S,S,S,N
depositos,S,S,S,S,S,S,S,S,S,S,N
documentos,S,S,S,S,S,S,S,S,S,S,N
empresas,S,S,S,S,S,S,S,S,S,S,N
especialidades,S,S,S,S,S,S,S,S,S,S,N
eventos,N,N,N,N,N,N,N,N,N,N,N
fichas_cirugia,S,S,S,S,S,S,S,S,S,S,N
fichas_fonoaudiologia,S,S,S,S,S,S,S,S,S,S,N
fichas_nutricion,S,S,S,S,S,S,S,S,S,S,N
fichas_odontologia,S,S,S,S,S,S,S,S,S,S,N
fichas_psicologia,S,S,S,S,S,S,S,S,S,S,N
impresoras,S,S,S,S,S,S,S,S,S,S,N
ingreso_familiares,S,S,S,S,S,S,S,S,S,S,N
inventario_lotes,S,S,S,S,S,S,S,S,S,S,N
inventario_productos,S,S,S,S,S,S,S,S,S,S,N
inventarios,S,S,S,S,S,S,S,S,S,S,N
lote_depositos,S,S,S,S,S,S,S,S,S,S,N
lotes,S,S,S,S,S,S,S,S,S,S,N
medio_pagos,S,S,S,S,S,S,S,S,S,S,N
monedas,S,S,S,S,S,S,S,S,S,S,N
motivos_inventarios,S,S,S,S,S,S,S,S,S,S,N
movimientos,S,S,S,S,S,S,S,S,S,S,N
operaciones,S,S,S,S,S,S,S,S,S,S,N
pacientes,S,S,S,S,S,S,S,S,S,S,N
pago_detalles,S,S,S,S,S,S,S,S,S,S,N
pagos,S,S,S,S,S,S,S,S,S,S,N
parametros_empresas,S,S,S,S,S,S,S,S,S,S,N
personas,S,S,S,S,S,S,S,S,S,S,N
precios,S,S,S,S,S,S,S,S,S,S,N
proceso_detalles,S,S,S,S,S,S,S,S,S,S,N
procesos,S,S,S,S,S,S,S,S,S,S,N
produccion_detalles,S,S,S,S,S,S,S,S,S,S,N
producciones,S,S,S,S,S,S,S,S,S,S,N
producto_depositos,S,S,S,S,S,S,S,S,S,S,N
producto_detalles,S,S,S,S,S,S,S,S,S,S,N
productos,S,S,S,S,S,S,S,S,S,S,N
promocion_productos,S,S,S,S,S,S,S,S,S,S,N
promociones,S,S,S,S,S,S,S,S,S,S,N
proveedor_productos,S,S,S,S,S,S,S,S,S,S,N
proveedores,S,S,S,S,S,S,S,S,S,S,N
recargos,S,S,S,S,S,S,S,S,S,S,N
recursos,S,S,S,S,S,S,S,S,S,S,N
recursos_roles,S,S,S,S,S,S,S,S,S,S,N
referencias,S,S,S,S,S,S,S,S,S,S,N
registros_produccion,S,S,S,S,S,S,S,S,S,S,N
roles,S,S,S,S,S,S,S,S,S,S,N
roles_usuarios,S,S,S,S,S,S,S,S,S,S,N
schema_migrations,S,S,S,S,S,S,S,S,S,S,N
sponsors,S,S,S,S,S,S,S,S,S,S,N
sucursales,S,S,S,S,S,S,S,S,S,S,N
sucursales_usuarios,S,S,S,S,S,S,S,S,S,S,N
sucursales_vendedores,S,S,S,S,S,S,S,S,S,S,N
tarjetas,S,S,S,S,S,S,S,S,S,S,N
tipo_campanhas,S,S,S,S,S,S,S,S,S,S,N
tipo_colaboradores,S,S,S,S,S,S,S,S,S,S,N
tipo_contactos,S,S,S,S,S,S,S,S,S,S,N
tipo_creditos,S,S,S,S,S,S,S,S,S,S,N
tipo_documentos,S,S,S,S,S,S,S,S,S,S,N
tipo_operacion_detalles,S,S,S,S,S,S,S,S,S,S,N
tipo_productos,S,S,S,S,S,S,S,S,S,S,N
tipo_salidas,S,S,S,S,S,S,S,S,S,S,N
tipo_sponsors,S,S,S,S,S,S,S,S,S,S,N
tipos_movimiento,S,S,S,S,S,S,S,S,S,S,N
tipos_operacion,S,S,S,S,S,S,S,S,S,S,N
transferencia_deposito_detalles,S,S,S,S,S,S,S,S,S,S,N
transferencias_deposito,S,S,S,S,S,S,S,S,S,S,N
tratamientos,S,S,S,S,S,S,S,S,S,S,N
usuarios,S,S,S,S,S,S,S,S,S,S,N
vendedores,S,S,S,S,S,S,S,S,S,S,N
venta_cuotas,S,S,S,S,S,S,S,S,S,S,N
venta_detalles,S,S,S,S,S,S,S,S,S,S,N
venta_medios,S,S,S,S,S,S,S,S,S,S,N
