,FE_index,FE_show,FE_post,FE_put,FE_delete,BE_index,Be_show,BE_post,BE_put,BE_delete,FE
personas,S,S,S,S,S,S,S,S,S,S,N
pacientes,N,N,N,N,N,S,S,N,N,N,N
conyugues,S,S,S,S,S,S,S,S,S,S,N
ingreso_familiares,S,S,S,S,S,S,S,S,S,S,N
vinculo_familiares,S,S,S,S,S,S,S,S,S,S,N
documentos,S,S,S,S,S,S,S,S,S,S,N
tipo_colaboradores,S,S,S,S,S,S,S,S,S,S,N
colaboradores,S,S,S,S,S,S,S,S,S,S,N
viajes,S,S,S,S,S,S,S,S,S,S,N
viaje_colaboradores,S,S,S,S,S,S,S,S,S,S,N
cursos,S,S,S,S,S,S,S,S,S,S,N
curso_colaboradores,S,S,S,S,S,S,S,S,S,S,N
campanhas_colaboradores,S,S,S,S,S,S,S,S,S,S,N
tipo_campanhas,S,S,S,S,S,S,S,S,S,S,N
campanhas,S,S,S,S,S,S,S,S,S,S,N
tipo_contactos,S,S,S,S,S,S,S,S,S,S,N
contactos,S,S,S,S,S,S,S,S,S,S,N
tipo_sponsors,S,S,S,S,S,S,S,S,S,S,N
sponsors,S,S,S,S,S,S,S,S,S,S,N
campanha_sponsors,S,S,S,S,S,S,S,S,S,S,N
parametros_empresas,S,S,N,N,N,S,S,N,N,N,N
tipo_productos,S,S,S,S,S,S,S,S,S,S,N
productos,S,S,N,N,N,S,S,N,N,N,N
producto_detalles,S,S,N,S,N,S,S,N,N,N,N
lotes,S,S,S,S,S,S,S,S,S,S,N
lote_depositos,S,S,S,S,S,S,S,S,S,S,N
transferencia_deposito_detalles,S,S,S,S,S,S,S,S,S,S,N
transferencias_deposito,S,S,S,S,S,S,S,S,S,S,N
proveedores,S,S,N,N,N,S,S,N,N,N,N
proveedor_productos,S,S,N,N,N,S,S,N,N,N,N
sucursales,S,S,N,N,N,S,S,N,N,N,N
sucursales_usuarios,S,S,N,N,N,S,S,N,N,N,N
sucursales_vendedores,S,S,N,N,N,S,S,N,N,N,N
tipo_salidas,S,S,N,N,N,S,S,N,N,N,N
tipo_documentos,S,S,S,S,S,S,S,S,S,S,N
usuarios,S,S,N,N,N,S,S,N,N,N,N
eventos,S,S,S,S,S,S,S,S,S,S,N
especialidades,S,S,S,S,S,S,S,S,S,S,N
reportes_clinica,N,N,N,N,N,N,N,N,N,N,S
reportes_inventario,N,N,N,N,N,N,N,N,N,N,S
reportes_caja,N,N,N,N,N,N,N,N,N,N,S
reportes_administracion,N,N,N,N,N,N,N,N,N,N,S
menu_configuraciones,N,N,N,N,N,N,N,N,N,N,N
menu_personas,N,N,N,N,N,N,N,N,N,N,N
consultas,S,S,S,S,S,S,S,S,S,N,N
