,FE_index,FE_show,FE_post,FE_put,FE_delete,BE_index,Be_show,BE_post,BE_put,BE_delete,FE
ajuste_inventario_detalles,S,S,S,S,S,S,S,S,S,S,N
ajuste_inventarios,S,S,S,S,S,S,S,S,S,S,N
categorias,S,S,S,S,S,S,S,S,S,S,N
categorias_productos,S,S,S,S,S,S,S,S,S,S,N
clientes,S,S,S,S,S,S,S,S,S,S,N
compra_cuotas,S,S,S,S,S,S,S,S,S,S,N
compra_detalles,S,S,S,S,S,S,S,S,S,S,N
compra_medios,S,S,S,S,S,S,S,S,S,S,N
compras,S,S,S,S,S,S,S,S,S,S,N
consultorios,S,S,N,N,N,S,S,N,N,N,N
contenedores,S,S,S,S,S,S,S,S,S,S,N
depositos,S,S,S,S,S,S,S,S,S,S,N
empresas,S,S,S,S,S,S,S,S,S,S,N
especialidades,S,S,N,N,N,S,S,N,N,N,N
inventario_lotes,S,S,S,S,S,S,S,S,S,S,N
inventarios,S,S,S,S,S,S,S,S,S,S,N
lote_depositos,S,S,S,S,S,S,S,S,S,S,N
lotes,S,S,S,S,S,S,S,S,S,S,N
medio_pagos,S,S,N,N,N,S,S,N,N,N,N
monedas,S,S,N,N,N,S,S,N,N,N,N
motivos_inventarios,S,S,S,S,S,S,S,S,S,S,N
pacientes,S,S,N,N,N,S,S,N,N,N,N
pago_detalles,S,S,S,S,S,S,S,S,S,S,N
pagos,S,S,S,S,S,S,S,S,S,S,N
parametros_empresas,S,S,N,N,N,S,S,N,N,N,N
personas,S,S,N,N,N,S,S,N,N,N,N
precios,S,S,S,S,S,S,S,S,S,S,N
produccion_detalles,S,S,S,S,S,S,S,S,S,S,N
producciones,S,S,S,S,S,S,S,S,S,S,N
producto_detalles,S,S,S,S,S,S,S,S,S,S,N
productos,S,S,S,S,S,S,S,S,S,S,N
promocion_productos,S,S,S,S,S,S,S,S,S,S,N
promociones,S,S,S,S,S,S,S,S,S,S,N
proveedor_productos,S,S,S,S,S,S,S,S,S,S,N
proveedores,S,S,S,S,S,S,S,S,S,S,N
tarjetas,S,S,S,S,S,S,S,S,S,S,N
tipo_campanhas,S,S,S,S,S,S,S,S,S,S,N
tipo_productos,S,S,S,S,S,S,S,S,S,S,N
tipos_movimiento,S,S,N,N,N,S,S,N,N,N,N
tipos_operacion,S,S,N,N,N,S,S,N,N,N,N
transferencia_deposito_detalles,S,S,S,S,S,S,S,S,S,S,N
transferencias_deposito,S,S,S,S,S,S,S,S,S,S,N
vendedores,S,S,N,N,N,S,S,N,N,N,N
venta_cuotas,S,S,S,S,S,S,S,S,S,S,N
venta_detalles,S,S,S,S,S,S,S,S,S,S,N
venta_medios,S,S,S,S,S,S,S,S,S,S,N
ventas,S,S,S,S,S,S,S,S,S,S,N
tipo_salidas,S,S,S,S,S,S,S,S,S,S,N
colaboradores,S,S,N,N,N,S,S,N,N,N,N
usuarios,S,S,N,N,N,S,S,N,N,N,N
sucursales,S,S,N,N,N,S,S,N,N,N,N
sucursales_usuarios,S,S,N,N,N,S,S,N,N,N,N
sucursales_vendedores,S,S,N,N,N,S,S,N,N,N,N
reportes_clinica,N,N,N,N,N,N,N,N,N,N,S
reportes_inventario,N,N,N,N,N,N,N,N,N,N,S
reportes_caja,N,N,N,N,N,N,N,N,N,N,S
reportes_administracion,N,N,N,N,N,N,N,N,N,N,S
menu_configuraciones,N,N,N,N,N,N,N,N,N,N,S
menu_personas,N,N,N,N,N,N,N,N,N,N,N
consultas ,S,S,N,N,N,S,S,N,N,N,N
